Sentence	entity_1	entity_2	json	split
During sexual development the human fungal pathogen Cryptococcus neoformans undergoes a developmental transition from yeast - form growth to filamentous growth.	human,30,35,Organism/Species	Cryptococcus neoformans,52,75,Organism/Species	"[{""token"": ""human"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Organism/Species""}, {""token"": ""Cryptococcus neoformans"", ""start_span"": 52, ""end_span"": 75, ""type"": ""Organism/Species""}]"	train
Phylogenetic analyses based on 16S rRNA gene sequences showed that strain GSW - R14 ( T) belonged to the genus Flavobacterium, joining Flavobacterium gelidilacus LMG 21477 ( T) by a bootstrap resampling value of 100%.	GSW - R14,74,83,Organism/Species	Flavobacterium gelidilacus,135,161,Organism/Species	"[{""token"": ""GSW - R14"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Organism/Species""}, {""token"": ""Flavobacterium gelidilacus"", ""start_span"": 135, ""end_span"": 161, ""type"": ""Organism/Species""}]"	train
The type strain of Methanoregula boonei is 6A8 ( T) ( = DSM 21154 ( T) = JCM 14090 ( T)).	Methanoregula boonei,19,39,Organism/Species	6A8,43,46,Organism/Species	"[{""token"": ""Methanoregula boonei"", ""start_span"": 19, ""end_span"": 39, ""type"": ""Organism/Species""}, {""token"": ""6A8"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Organism/Species""}]"	train
A Gram - negative, aerobic bacterium, designated R - 40509 ( T), was isolated from mucus of the reef builder coral ( Mussismilia hispida) located in the Sao Sebastiao Channel, Sao Paulo, Brazil.	R - 40509,49,58,Organism/Species	Mussismilia hispida,117,136,Organism/Species	"[{""token"": ""R - 40509"", ""start_span"": 49, ""end_span"": 58, ""type"": ""Organism/Species""}, {""token"": ""Mussismilia hispida"", ""start_span"": 117, ""end_span"": 136, ""type"": ""Organism/Species""}]"	train
is proposed to accommodate this novel isolate; the type strain is R - 40509 ( T) ( = LMG 25435 ( T) = CAIM 1449 ( T)).	R - 40509,66,75,Organism/Species	LMG 25435 ( T,85,98,Organism/Species	"[{""token"": ""R - 40509"", ""start_span"": 66, ""end_span"": 75, ""type"": ""Organism/Species""}, {""token"": ""LMG 25435 ( T"", ""start_span"": 85, ""end_span"": 98, ""type"": ""Organism/Species""}]"	train
Based on genetic and chemotaxonomic evidence, it is suggested that strain YM18 - 15 ( T) represents a novel species of a new genus within the family Beutenbergiaceae, for which the name Miniimonas arenae gen. nov., sp. nov.	YM18 - 15,74,83,Organism/Species	Miniimonas arenae,186,203,Organism/Species	"[{""token"": ""YM18 - 15"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Organism/Species""}, {""token"": ""Miniimonas arenae"", ""start_span"": 186, ""end_span"": 203, ""type"": ""Organism/Species""}]"	train
Anoxybacillus tengchongensis sp. nov. and Anoxybacillus eryuanensis sp. nov., facultatively anaerobic, alkalitolerant bacteria from hot springs.	Anoxybacillus tengchongensis,0,28,Organism/Species	Anoxybacillus eryuanensis,42,67,Organism/Species	"[{""token"": ""Anoxybacillus tengchongensis"", ""start_span"": 0, ""end_span"": 28, ""type"": ""Organism/Species""}, {""token"": ""Anoxybacillus eryuanensis"", ""start_span"": 42, ""end_span"": 67, ""type"": ""Organism/Species""}]"	train
Two novel thermophilic, spore - forming bacterial strains, T - 11 ( T) and E - 112 ( T), were isolated from hot springs in Tengchong and Eryuan counties of Yunnan province in south - west China.	T - 11,59,65,Organism/Species	E - 112,75,82,Organism/Species	"[{""token"": ""T - 11"", ""start_span"": 59, ""end_span"": 65, ""type"": ""Organism/Species""}, {""token"": ""E - 112"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Organism/Species""}]"	train
Growth of strain T - 11 ( T) was observed between 30 and 75 ^ 0C ( optimum 50 ^ 0C) and at pH 7 - 11 ( optimum pH 8. 5), while the temperature range for strain E - 112 ( T) was 35 - 70 ^ 0C ( optimum 55 ^ 0C) and the pH range was 7. 0 - 11. 0 ( optimum pH 8. 0).	T - 11,17,23,Organism/Species	E - 112,160,167,Organism/Species	"[{""token"": ""T - 11"", ""start_span"": 17, ""end_span"": 23, ""type"": ""Organism/Species""}, {""token"": ""E - 112"", ""start_span"": 160, ""end_span"": 167, ""type"": ""Organism/Species""}]"	train
The DNA G + C contents of strains T - 11 ( T) and E - 112 ( T) were 41. 1 and 42. 6 mol%, respectively.	T - 11,34,40,Organism/Species	E - 112,50,57,Organism/Species	"[{""token"": ""T - 11"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Organism/Species""}, {""token"": ""E - 112"", ""start_span"": 50, ""end_span"": 57, ""type"": ""Organism/Species""}]"	train
