Sentence	entity_1	entity_2	json	split
Surface waters were exclusively collected at the flowing sections of streams to avoid stagnant ponds with biased evaporative signals ( Snchez - Murillo and Birkel, 2016).	streams,69,76,ecoregion	ponds,95,100,ecoregion	"[{""token"": ""streams"", ""start_span"": 69, ""end_span"": 76, ""type"": ""ecoregion""}, {""token"": ""ponds"", ""start_span"": 95, ""end_span"": 100, ""type"": ""ecoregion""}]"	train
Lake Lustsee is the only one of the northern lakes, which is heavily influenced by groundwater sources.	Lake,0,4,ecoregion	lakes,45,50,ecoregion	"[{""token"": ""Lake"", ""start_span"": 0, ""end_span"": 4, ""type"": ""ecoregion""}, {""token"": ""lakes"", ""start_span"": 45, ""end_span"": 50, ""type"": ""ecoregion""}]"	train
Field Sites and Sampling A total of twenty - four cryoconite hole samples were collected in Queen Maud Land between the 31st of January and 8th of February in 2017 ( Figure 1 and Table 1) near the Utsteinen Nunatak ( Lake 2 and Lake 3), in Dubois and in Petrelnuten ( see Table 1 for GPS coordinates).	Lake,217,221,ecoregion	Lake,228,232,ecoregion	"[{""token"": ""Lake"", ""start_span"": 217, ""end_span"": 221, ""type"": ""ecoregion""}, {""token"": ""Lake"", ""start_span"": 228, ""end_span"": 232, ""type"": ""ecoregion""}]"	train
This provides evidence of bacteria in the ocean being dispersed out of oil reservoirs, and suggests that specific thermospores may be used as model organisms for studying warm - to - cold transmigration in the deep sea.	ocean,42,47,ecoregion	sea,215,218,ecoregion	"[{""token"": ""ocean"", ""start_span"": 42, ""end_span"": 47, ""type"": ""ecoregion""}, {""token"": ""sea"", ""start_span"": 215, ""end_span"": 218, ""type"": ""ecoregion""}]"	train
Vegetation is a native grassland and shrubland community dominated by S. tenacissima, and contains gypsophilous shrubs such as H. squamatum and Gypsophila struthium L. Perennial vegetation cover is lower than 40%.	grassland,23,32,ecoregion	shrubland,37,46,ecoregion	"[{""token"": ""grassland"", ""start_span"": 23, ""end_span"": 32, ""type"": ""ecoregion""}, {""token"": ""shrubland"", ""start_span"": 37, ""end_span"": 46, ""type"": ""ecoregion""}]"	train
Hyperalkaline springs often form shallow pools characterized by moderate turbidity, thin white films of carbonate precipitates, and extensive yellow - brown carbonate deposits.	springs,14,21,ecoregion	pools,41,46,ecoregion	"[{""token"": ""springs"", ""start_span"": 14, ""end_span"": 21, ""type"": ""ecoregion""}, {""token"": ""pools"", ""start_span"": 41, ""end_span"": 46, ""type"": ""ecoregion""}]"	train
Materials and methods Field site and sampling The samples used in this study were collected during summer ( July 12 and 13, 2012, lake surface elevation: 1945 m) following a winter when the lake did not mix fully ( the onset of meromixis).	lake,130,134,ecoregion	lake,190,194,ecoregion	"[{""token"": ""lake"", ""start_span"": 130, ""end_span"": 134, ""type"": ""ecoregion""}, {""token"": ""lake"", ""start_span"": 190, ""end_span"": 194, ""type"": ""ecoregion""}]"	train
1Reaches of the four Brazilian rivers featured in this study indicating floodplain lake sampling sites: Amazon ( a), Araguaia ( b), Pantanal ( c), and Parana ( d) Molecular Analysis Environmental DNA ( eDNA) was extracted with FastDNA kits ( MP Biomedicals, Solon, OH) and quantified using the dsDNA High Sensitivity Assay kit on the Qubit 2. 0 Fluorometer ( Invitrogen, Waltham, MA).	rivers,31,37,ecoregion	lake,83,87,ecoregion	"[{""token"": ""rivers"", ""start_span"": 31, ""end_span"": 37, ""type"": ""ecoregion""}, {""token"": ""lake"", ""start_span"": 83, ""end_span"": 87, ""type"": ""ecoregion""}]"	train
Vegetation ( i. e., deciduous trees) is mostly located in riparian areas, whereas tropical dry forest grass is common on the upper part of the stream canyons.	forest,95,101,ecoregion	stream canyons,143,157,ecoregion	"[{""token"": ""forest"", ""start_span"": 95, ""end_span"": 101, ""type"": ""ecoregion""}, {""token"": ""stream canyons"", ""start_span"": 143, ""end_span"": 157, ""type"": ""ecoregion""}]"	train
For bacterial DNA extraction a total of 1 L of water from each lake was used, mixing samples taken in 1 m steps from the entire water column over the deepest point of the lake.	lake,63,67,ecoregion	lake,171,175,ecoregion	"[{""token"": ""lake"", ""start_span"": 63, ""end_span"": 67, ""type"": ""ecoregion""}, {""token"": ""lake"", ""start_span"": 171, ""end_span"": 175, ""type"": ""ecoregion""}]"	train
Sample depths were 30 m, 60 m, 130 m, 300 m, and 1, 000 m at station 2 and 30 m, 85 m, 100 m, 300 m, and 1, 000 m at station 6, which represented samples from the surface mixed layer, upper oxycline, OMZ core and lower oxycline at either station respectively.	300 m,38,43,ecoregion	300 m,94,99,ecoregion	"[{""token"": ""300 m"", ""start_span"": 38, ""end_span"": 43, ""type"": ""ecoregion""}, {""token"": ""300 m"", ""start_span"": 94, ""end_span"": 99, ""type"": ""ecoregion""}]"	train
Samples were collected from alkaline, hypersaline Mono Lake, California, USA at five depths that captured the major redox zones of the lake during the onset of meromixis.	Lake,55,59,ecoregion	lake,135,139,ecoregion	"[{""token"": ""Lake"", ""start_span"": 55, ""end_span"": 59, ""type"": ""ecoregion""}, {""token"": ""lake"", ""start_span"": 135, ""end_span"": 139, ""type"": ""ecoregion""}]"	train
Gillson Park and Calumet Beach are adjacent to locks controlling the movement of water between the North Shore Channel and Calumet River, respectively, and Lake Michigan.	River,131,136,ecoregion	Lake,156,160,ecoregion	"[{""token"": ""River"", ""start_span"": 131, ""end_span"": 136, ""type"": ""ecoregion""}, {""token"": ""Lake"", ""start_span"": 156, ""end_span"": 160, ""type"": ""ecoregion""}]"	train
Materials and methods The LCVF is located on a volcanic ridge in the rift valley of the AMOR at the transition between the Mohns Ridge and the Knipovich Ridge at 7330N and 0809E and at a depth of 2400 m ( Figure S1A) ( Pedersen et al., 2010).	volcanic ridge,47,61,ecoregion	rift valley,69,80,ecoregion	"[{""token"": ""volcanic ridge"", ""start_span"": 47, ""end_span"": 61, ""type"": ""ecoregion""}, {""token"": ""rift valley"", ""start_span"": 69, ""end_span"": 80, ""type"": ""ecoregion""}]"	train
Materials and Methods Sampling The molecular diversity and seasonality of the planktonic organisms of lakes Fuschlsee, Wallersee, and Augstsee ( all located in Salzkammergut, Austria; for more details see Table 1) was evaluated based on sampling in 2006 and for Lake Fuschlsee additionally in 2007 ( for additional publications on this dataset, see ( Medinger et al., 2010; Nolte et al., 2010;	lakes,102,107,ecoregion	Lake,262,266,ecoregion	"[{""token"": ""lakes"", ""start_span"": 102, ""end_span"": 107, ""type"": ""ecoregion""}, {""token"": ""Lake"", ""start_span"": 262, ""end_span"": 266, ""type"": ""ecoregion""}]"	train
The water eventually drains into Lake Starnberg, which lies directly north of the Osterseen Lake District.	Lake,33,37,ecoregion	Lake,92,96,ecoregion	"[{""token"": ""Lake"", ""start_span"": 33, ""end_span"": 37, ""type"": ""ecoregion""}, {""token"": ""Lake"", ""start_span"": 92, ""end_span"": 96, ""type"": ""ecoregion""}]"	train
The Osterseen Lake District consists of a group of 19 small lakes located in the Bavarian pre - alpine region ca.	Lake,14,18,ecoregion	lakes,60,65,ecoregion	"[{""token"": ""Lake"", ""start_span"": 14, ""end_span"": 18, ""type"": ""ecoregion""}, {""token"": ""lakes"", ""start_span"": 60, ""end_span"": 65, ""type"": ""ecoregion""}]"	train
Materials and Methods Study Sites, Sampling, and Field Measurements Samples were taken in river floodplain lakes from the Amazon, Araguaia, Pantanal region ( Paraguai and Miranda Rivers), and Paran Rivers ( Fig. 1).	river,90,95,ecoregion	lakes,107,112,ecoregion	"[{""token"": ""river"", ""start_span"": 90, ""end_span"": 95, ""type"": ""ecoregion""}, {""token"": ""lakes"", ""start_span"": 107, ""end_span"": 112, ""type"": ""ecoregion""}]"	train
These sites were chosen to represent polar desert and semi - desert vegetation types, previously described in detail by Wookey et al. ( 1995), Walker et al. ( 2005), and Madan et al. ( 2007), within the Dryas octopetala zone of Svalbard, defined as bioclimatic subzone B and vegetation type P1.	polar desert,37,49,ecoregion	semi - desert,54,67,ecoregion	"[{""token"": ""polar desert"", ""start_span"": 37, ""end_span"": 49, ""type"": ""ecoregion""}, {""token"": ""semi - desert"", ""start_span"": 54, ""end_span"": 67, ""type"": ""ecoregion""}]"	train
Materials and Methods Sample Recovery All samples were recovered during October 2014 from the Colorado Plateau Desert, Utah, USA in the vicinity of Moab, UT, USA ( 38. 538151 N, 109. 59623 W).	Plateau,103,110,ecoregion	Desert,111,117,ecoregion	"[{""token"": ""Plateau"", ""start_span"": 103, ""end_span"": 110, ""type"": ""ecoregion""}, {""token"": ""Desert"", ""start_span"": 111, ""end_span"": 117, ""type"": ""ecoregion""}]"	train
Lakes sampled, date of sampling, and river association are shown in Supplemental Table 1.	Lakes,0,5,ecoregion	river,37,42,ecoregion	"[{""token"": ""Lakes"", ""start_span"": 0, ""end_span"": 5, ""type"": ""ecoregion""}, {""token"": ""river"", ""start_span"": 37, ""end_span"": 42, ""type"": ""ecoregion""}]"	train
The lakes were completely frozen and an approximately 7080 cm thick ice layer had to be penetrated using a Kovacs ice drill to reach liquid lake water.	lakes,4,9,ecoregion	lake,140,144,ecoregion	"[{""token"": ""lakes"", ""start_span"": 4, ""end_span"": 9, ""type"": ""ecoregion""}, {""token"": ""lake"", ""start_span"": 140, ""end_span"": 144, ""type"": ""ecoregion""}]"	train
Here we study the development of a deep - sea microbiome disturbed by seafloor mixing due to gas eruptions and mud slides at the actively gas - emitting Hkon Mosby Mud Volcano ( HMMV) on the Norwegian continental slope.	sea,42,45,ecoregion	Volcano,168,175,ecoregion	"[{""token"": ""sea"", ""start_span"": 42, ""end_span"": 45, ""type"": ""ecoregion""}, {""token"": ""Volcano"", ""start_span"": 168, ""end_span"": 175, ""type"": ""ecoregion""}]"	train
Anthropogenic influence ( municipal wastewater from the village Iffeldorf at the southernmost Lake Waschsee and agricultural use of the surrounding land) has resulted in heavy eutrophication of the southernmost lakes during the twentieth century.	Lake,94,98,ecoregion	lakes,211,216,ecoregion	"[{""token"": ""Lake"", ""start_span"": 94, ""end_span"": 98, ""type"": ""ecoregion""}, {""token"": ""lakes"", ""start_span"": 211, ""end_span"": 216, ""type"": ""ecoregion""}]"	train
Lake Lustsee forms a side arm that drains into the main chain at Lake Grbensee.	Lake,0,4,ecoregion	Lake,65,69,ecoregion	"[{""token"": ""Lake"", ""start_span"": 0, ""end_span"": 4, ""type"": ""ecoregion""}, {""token"": ""Lake"", ""start_span"": 65, ""end_span"": 69, ""type"": ""ecoregion""}]"	train
